Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq Contour (Hz)	Agg Entropy (bits)	Peak Freq (Hz)	IQR BW (Hz)	Description
104	Spectrogram 1	1	310.289752105	310.970609862	116.9	321.5	0.681	234.4;273.4;179.7;210.9;179.7;132.8;117.2;195.3;171.9	4.682	117.2	85.9	gurgle
105	Spectrogram 1	1	311.651467620	312.536582705	112.7	321.5	0.885	273.4;210.9;210.9;242.2;171.9;234.4;187.5;289.1;203.1;179.7;179.7;273.4;210.9	4.689	187.5	93.8	gurgle
107	Spectrogram 1	1	318.051530542	320.366446918	204.6	313.2	2.315	226.6;242.2;281.2;312.5;265.6;210.9;312.5;218.8;226.6;265.6;218.8;273.4;265.6;226.6;312.5;226.6;250.0;210.9;273.4;234.4;312.5;250.0;289.1;234.4;273.4;289.1;257.8;312.5;257.8;265.6;226.6;281.2;257.8;304.7;289.1	3.792	281.2	54.7	descending moan
108	Spectrogram 1	1	321.183476227	321.932419760	196.2	313.2	0.749	226.6;226.6;289.1;312.5;312.5;203.1;304.7;203.1;226.6;273.4;234.4	3.827	234.4	62.5	grunt
109	Spectrogram 1	1	322.681363294	323.362221051	183.7	263.0	0.681	187.5;203.1;218.8;234.4;187.5;234.4;242.2;218.8;257.8;226.6	3.273	226.6	39.1	grunt
110	Spectrogram 1	1	323.838821482	324.519679239	108.6	221.3	0.681	109.4;109.4;164.1;156.2;179.7;195.3;187.5;179.7;187.5;140.6	3.881	109.4	54.7	grunt
112	Spectrogram 1	1	328.945254664	330.102712852	384.1	421.7	1.157	414.1;390.6;398.4;398.4;398.4;414.1;406.2;406.2;414.1;414.1;406.2;398.4;398.4;398.4;398.4;406.2;390.6	1.996	390.6	15.6	trill
113	Spectrogram 1	1	331.804857246	332.349543452	572.0	897.7	0.545	710.9;890.6;851.6;710.9;664.1;671.9;789.1	5.304	710.9	156.2	ascending shriek
114	Spectrogram 1	1	333.302744313	334.119773622	538.6	914.4	0.817	890.6;804.7;882.8;789.1;726.6;671.9;882.8;820.3;734.4;843.8;789.1;804.7	5.548	789.1	218.8	croak
116	Spectrogram 1	1	343.490009812	344.443210672	488.5	1089.8	0.953	937.5;867.2;1070.3;687.5;554.7;734.4;867.2;867.2;843.8;953.1;765.6;992.2;593.8	6.212	554.7	296.9	ascending shriek
117	Spectrogram 1	1	345.192154206	346.690041273	555.3	1073.1	1.498	632.8;992.2;804.7;921.9;859.4;882.8;570.3;679.7;648.4;695.3;593.8;882.8;757.8;859.4;750.0;710.9;609.4;898.4;890.6;570.3;929.7;562.5;718.8	6.013	695.3	242.2	croak
118	Spectrogram 1	1	337.615024075	338.840568038	280.5	345.4	1.226	312.5;304.7;304.7;320.3;304.7;320.3;320.3;304.7;335.9;320.3;304.7;320.3;343.8;296.9;328.1;343.8;312.5;304.7	3.083	320.3	23.4	trill
119	Spectrogram 1	1	326.312785298	328.014929692	313.0	372.0	1.702	328.1;328.1;320.3;320.3;320.3;351.6;367.2;367.2;320.3;367.2;367.2;320.3;328.1;367.2;343.8;367.2;320.3;351.6;351.6;328.1;328.1;351.6;367.2;367.2;320.3;367.2	2.756	320.3	31.2	trill
121	Spectrogram 1	1	314.286114052	315.852086895	273.0	345.0	1.566	312.5;343.8;289.1;289.1;320.3;281.2;296.9;312.5;296.9;335.9;273.4;273.4;273.4;304.7;289.1;289.1;328.1;320.3;320.3;343.8;304.7;304.7;343.8;335.9	3.285	312.5	31.2	trill
122	Spectrogram 1	1	303.188132603	305.094534324	280.6	318.5	1.906	296.9;304.7;312.5;296.9;312.5;281.2;304.7;289.1;312.5;296.9;296.9;289.1;312.5;296.9;296.9;312.5;296.9;281.2;281.2;312.5;289.1;289.1;312.5;281.2;296.9;281.2;289.1;304.7;312.5	2.316	281.2	15.6	trill
124	Spectrogram 1	1	281.895803727	283.734119672	299.5	356.4	1.838	351.6;304.7;320.3;328.1;343.8;320.3;320.3;351.6;351.6;320.3;328.1;343.8;328.1;320.3;328.1;351.6;312.5;312.5;320.3;304.7;312.5;304.7;328.1;335.9;304.7;328.1;320.3;312.5	2.789	343.8	31.2	groan
125	Spectrogram 1	1	349.090472562	351.133045835	288.2	341.2	2.043	312.5;296.9;296.9;320.3;328.1;289.1;328.1;289.1;328.1;289.1;320.3;289.1;320.3;296.9;312.5;289.1;328.1;312.5;289.1;304.7;312.5;289.1;296.9;289.1;320.3;335.9;335.9;328.1;296.9;304.7;296.9	2.797	328.1	31.2	descending moan
126	Spectrogram 1	1	356.403974159	359.399748292	580.1	1000.9	2.996	914.1;648.4;875.0;828.1;890.6;835.9;796.9;945.3;679.7;765.6;914.1;742.2;789.1;968.8;968.8;812.5;960.9;843.8;890.6;843.8;835.9;1000.0;585.9;757.8;843.8;765.6;718.8;593.8;906.2;656.2;593.8;648.4;789.1;921.9;609.4;960.9;828.1;968.8;859.4;742.2;710.9;945.3;828.1;710.9;812.5;765.6	5.742	890.6	203.1	croak
127	Spectrogram 1	1	361.714664668	363.348723287	280.6	341.2	1.634	281.2;281.2;296.9;335.9;335.9;328.1;281.2;335.9;328.1;320.3;335.9;289.1;328.1;281.2;312.5;296.9;335.9;320.3;296.9;289.1;335.9;328.1;296.9;328.1;289.1	2.982	289.1	39.1	trill
128	Spectrogram 1	1	367.978556039	371.314759051	568.7	940.3	3.336	671.9;929.7;820.3;890.6;687.5;718.8;921.9;742.2;585.9;648.4;570.3;578.1;773.4;625.0;601.6;796.9;734.4;875.0;937.5;796.9;789.1;578.1;585.9;750.0;789.1;835.9;906.2;726.6;929.7;875.0;710.9;671.9;882.8;875.0;632.8;859.4;585.9;890.6;609.4;843.8;703.1;703.1;882.8;921.9;781.2;789.1;742.2;703.1;859.4;890.6;750.0	5.570	882.8	195.3	croak
129	Spectrogram 1	1	373.289246548	375.195648270	280.6	345.0	1.906	312.5;343.8;343.8;281.2;343.8;343.8;281.2;343.8;335.9;343.8;343.8;343.8;289.1;304.7;335.9;343.8;296.9;281.2;312.5;281.2;296.9;335.9;328.1;304.7;335.9;343.8;281.2;335.9;281.2	3.051	343.8	31.2	trill
130	Spectrogram 1	1	380.141398518	383.137172652	583.9	951.7	2.996	851.6;929.7;718.8;585.9;828.1;945.3;921.9;632.8;929.7;859.4;765.6;617.2;882.8;671.9;890.6;710.9;781.2;617.2;875.0;757.8;757.8;656.2;929.7;710.9;710.9;859.4;750.0;710.9;851.6;593.8;914.1;929.7;718.8;679.7;585.9;789.1;617.2;601.6;921.9;609.4;765.6;640.6;820.3;796.9;882.8;742.2	5.536	859.4	187.5	croak
131	Spectrogram 1	1	385.043574374	387.086147646	288.2	367.8	2.043	367.2;367.2;367.2;359.4;359.4;367.2;367.2;359.4;359.4;367.2;359.4;359.4;359.4;359.4;359.4;359.4;359.4;351.6;359.4;351.6;351.6;367.2;359.4;359.4;351.6;359.4;359.4;359.4;359.4;359.4;359.4	1.862	367.2	7.8	descending moan
132	Spectrogram 1	1	391.797683069	395.065800305	534.6	970.6	3.268	820.3;968.8;906.2;843.8;679.7;906.2;968.8;898.4;687.5;562.5;937.5;726.6;789.1;851.6;820.3;710.9;867.2;757.8;781.2;804.7;765.6;601.6;593.8;718.8;960.9;796.9;921.9;812.5;773.4;671.9;609.4;710.9;898.4;710.9;789.1;789.1;812.5;593.8;750.0;773.4;742.2;578.1;632.8;734.4;734.4;710.9;906.2;789.1;843.8;765.6	5.793	765.6	210.9	croak
133	Spectrogram 1	1	398.061574439	400.240319264	284.4	360.2	2.179	359.4;320.3;328.1;289.1;296.9;359.4;359.4;359.4;304.7;359.4;304.7;289.1;304.7;335.9;328.1;335.9;351.6;359.4;343.8;359.4;351.6;320.3;351.6;296.9;304.7;343.8;359.4;304.7;289.1;320.3;304.7;351.6;343.8	3.287	304.7	39.1	trill
134	Spectrogram 1	1	403.052533941	404.618506784	197.2	322.3	1.566	250.0;250.0;226.6;218.8;234.4;281.2;273.4;281.2;265.6;296.9;320.3;226.6;226.6;250.0;273.4;210.9;273.4;273.4;296.9;304.7;203.1;320.3;250.0;226.6	3.979	226.6	62.5	bellow
135	Spectrogram 1	1	405.163192990	408.022795572	515.6	807.6	2.860	585.9;585.9;750.0;789.1;554.7;804.7;585.9;593.8;570.3;765.6;632.8;562.5;562.5;531.2;562.5;687.5;625.0;796.9;562.5;546.9;546.9;554.7;523.4;726.6;656.2;773.4;531.2;546.9;617.2;710.9;554.7;515.6;601.6;718.8;593.8;562.5;718.8;718.8;703.1;593.8;679.7;765.6;585.9;757.8	5.220	562.5	164.1	croak
136	Spectrogram 1	1	409.588768415	411.495170136	307.1	364.0	1.906	343.8;343.8;351.6;343.8;359.4;359.4;328.1;351.6;359.4;312.5;320.3;343.8;328.1;312.5;351.6;351.6;351.6;351.6;351.6;359.4;343.8;335.9;328.1;320.3;328.1;320.3;312.5;335.9;328.1	2.801	328.1	31.2	descending moan
137	Spectrogram 1	1	414.451726826	416.562385875	193.4	303.3	2.111	218.8;226.6;210.9;203.1;250.0;281.2;203.1;250.0;218.8;265.6;289.1;195.3;234.4;218.8;273.4;289.1;273.4;250.0;242.2;296.9;242.2;218.8;218.8;203.1;203.1;203.1;234.4;296.9;242.2;257.8;234.4;289.1	3.733	203.1	54.7	bellow
138	Spectrogram 1	1	417.583672511	419.217731130	530.8	985.8	1.634	656.2;656.2;664.1;554.7;789.1;757.8;562.5;757.8;562.5;945.3;984.4;789.1;750.0;890.6;875.0;718.8;937.5;875.0;890.6;648.4;796.9;664.1;750.0;695.3;695.3	5.848	890.6	234.4	croak
139	Spectrogram 1	1	422.009247936	424.187992760	322.3	364.0	2.179	328.1;328.1;343.8;351.6;343.8;343.8;351.6;335.9;351.6;328.1;359.4;351.6;359.4;343.8;351.6;328.1;335.9;343.8;335.9;343.8;328.1;328.1;359.4;343.8;328.1;328.1;359.4;343.8;343.8;351.6;343.8;359.4;351.6	2.309	343.8	15.6	descending moan
140	Spectrogram 1	1	427.371138875	429.209454821	200.9	314.7	1.838	312.5;296.9;210.9;265.6;265.6;304.7;304.7;234.4;296.9;226.6;312.5;234.4;257.8;210.9;304.7;203.1;226.6;312.5;296.9;304.7;281.2;234.4;226.6;312.5;296.9;273.4;257.8;242.2	3.878	304.7	62.5	bellow
141	Spectrogram 1	1	430.503084560	431.864800075	602.8	1000.9	1.362	609.4;664.1;718.8;843.8;632.8;781.2;789.1;718.8;867.2;734.4;617.2;625.0;929.7;921.9;750.0;835.9;835.9;1000.0;898.4;773.4	5.650	664.1	195.3	croak
142	Spectrogram 1	1	433.839287573	435.813775070	314.7	382.9	1.974					trill
143	Spectrogram 1	1	439.156514317	440.654401384	113.7	299.5	1.498					bellow
144	Spectrogram 1	1	441.062916038	443.173575087	610.4	1012.3	2.111					croak
145	Spectrogram 1	1	445.828920342	447.939579391	265.4	356.4	2.111					descending moan
146	Spectrogram 1	1	451.122725505	453.982328087	87.2	337.4	2.860					bellow
147	Spectrogram 1	1	453.863586624	455.701902570	735.5	1069.2	1.838					croak
148	Spectrogram 1	1	458.084904722	460.399821098	291.9	379.1	2.315					trill
149	Spectrogram 1	1	462.569305977	464.748050802	102.4	341.2	2.179					bellow
150	Spectrogram 1	1	465.586322724	466.267180482	185.8	227.5	0.681					grunt
151	Spectrogram 1	1	466.811866688	467.492724446	170.6	227.5	0.681					grunt
152	Spectrogram 1	1	468.990611513	471.782128319	284.4	382.9	2.792					descending moan
153	Spectrogram 1	1	477.281279976	477.962137734	208.5	254.0	0.681					grunt
154	Spectrogram 1	1	478.779167043	479.323853249	216.1	265.4	0.545					grunt
156	Spectrogram 1	1	480.857689308	483.717291890	386.7	477.7	2.860					descending moan
157	Spectrogram 1	1	486.372637145	487.938609988	87.2	200.9	1.566					snort
158	Spectrogram 1	1	488.687553521	488.959896624	68.2	216.1	0.272					gurgle
159	Spectrogram 1	1	489.504582830	490.049269036	79.6	182.0	0.545					groan
160	Spectrogram 1	1	490.798212570	491.342898776	98.6	132.7	0.545					grunt
161	Spectrogram 1	1	493.930158255	496.653589285	314.7	527.0	2.723					descending moan
162	Spectrogram 1	1	499.074174655	500.095461291	53.1	91.0	1.021					groan
163	Spectrogram 1	1	505.359308322	507.946567801	189.6	254.0	2.587					trill
164	Spectrogram 1	1	511.827457019	513.257258310	208.5	276.8	1.430					grunt
165	Spectrogram 1	1	515.708346238	516.457289771	41.7	326.1	0.749					gurgle
166	Spectrogram 1	1	517.546662184	517.955176838	45.5	341.2	0.409					gurgle
167	Spectrogram 1	1	518.772206147	519.453063905	64.5	318.5	0.681					gurgle
168	Spectrogram 1	1	519.997750111	520.338178990	56.9	291.9	0.340					gurgle
169	Spectrogram 1	1	522.244580711	523.878639330	53.1	508.1	1.634					groan
170	Spectrogram 1	1	526.193555706	527.351013894	41.7	462.6	1.157					grumble
171	Spectrogram 1	1	528.304214754	528.712729409	68.2	360.2	0.409					gurgle
172	Spectrogram 1	1	529.529758718	530.551045355	45.5	420.9	1.021					gurgle
173	Spectrogram 1	1	531.095731561	531.708503543	34.1	413.3	0.613					gurgle
174	Spectrogram 1	1	532.321275525	532.525532852	37.9	371.6	0.204					gurgle
175	Spectrogram 1	1	533.614905264	534.091505694	53.1	382.9	0.477					gurgle
176	Spectrogram 1	1	534.568106125	534.976620779	34.1	284.4	0.409					gurgle
177	Spectrogram 1	1	536.699463045	538.129264336	41.7	492.9	1.430					purr
178	Spectrogram 1	1	539.899494506	541.533553124	51.2	381.0	1.634					purr
179	Spectrogram 1	1	542.282496658	542.963354415	66.4	398.1	0.681					gurgle
180	Spectrogram 1	1	543.726459585	544.339231567	68.2	352.6	0.613					gurgle
181	Spectrogram 1	1	545.292432428	545.632861306	72.0	352.6	0.340					gurgle
182	Spectrogram 1	1	546.449890616	547.062662598	83.4	335.5	0.613					gurgle
183	Spectrogram 1	1	547.811606131	548.424378113	64.5	329.9	0.613					gurgle
184	Spectrogram 1	1	548.900978543	549.513750525	55.0	312.8	0.613					gurgle
185	Spectrogram 1	1	551.169596499	551.918540032	37.9	413.3	0.749					purr
186	Spectrogram 1	1	554.505799511	555.459000372	45.5	403.8	0.953					purr
187	Spectrogram 1	1	556.539657581	557.016258012	36.0	381.0	0.477					gurgle
188	Spectrogram 1	1	558.105630424	558.718402406	60.7	379.1	0.613					gurgle
189	Spectrogram 1	1	559.467345939	560.216289473	66.4	364.0	0.749					gurgle
190	Spectrogram 1	1	560.965233006	561.509919212	51.2	318.5	0.545					gurgle
191	Spectrogram 1	1	562.190776970	562.531205849	55.0	318.5	0.340					gurgle
192	Spectrogram 1	1	563.075892055	563.620578261	70.1	312.8	0.545					gurgle
193	Spectrogram 1	1	564.202847685	564.679448115	115.6	301.4	0.477					gurgle
194	Spectrogram 1	1	568.015651128	568.968851988	72.0	424.6	0.953					purr
195	Spectrogram 1	1	571.488025692	572.236969225	68.2	436.0	0.749					purr
196	Spectrogram 1	1	573.409133792	573.885734222	83.4	305.2	0.477					gurgle
197	Spectrogram 1	1	574.702763531	575.383621289	77.7	346.9	0.681					gurgle
198	Spectrogram 1	1	576.200650598	576.745336804	62.6	358.3	0.545					gurgle
199	Spectrogram 1	1	577.221937234	577.834709216	85.3	346.9	0.613					gurgle
200	Spectrogram 1	1	578.447481198	579.128338956	218.0	345.0	0.681					gurgle
201	Spectrogram 1	1	579.536853610	580.149625592	73.9	309.0	0.613					gurgle
202	Spectrogram 1	1	580.830483350	581.307083780	81.5	297.6	0.477					gurgle
203	Spectrogram 1	1	582.124113090	582.736885071	250.2	377.2	0.613					gurgle
204	Spectrogram 1	1	584.983715672	586.209259635	41.7	396.2	1.226					purr
205	Spectrogram 1	1	588.456090236	589.817805751	49.3	400.0	1.362					purr
206	Spectrogram 1	1	590.331444340	590.739958995	79.6	153.6	0.409					grunt
207	Spectrogram 1	1	591.761245631	592.101674510	75.8	140.3	0.340					grunt
208	Spectrogram 1	1	592.986789595	593.667647353	55.0	125.1	0.681					grunt
209	Spectrogram 1	1	594.076162007	594.484676662	55.0	130.8	0.409					grunt
210	Spectrogram 1	1	594.893191316	595.505963298	36.0	121.3	0.613					grunt
211	Spectrogram 1	1	596.186821056	596.935764589	49.3	127.0	0.749					grunt
212	Spectrogram 1	1	597.071936141	597.684708123	53.1	123.2	0.613					grunt
213	Spectrogram 1	1	598.365565880	599.182595190	75.8	142.2	0.817					grunt
